,time,corr_flux,pca_flux,psf_flux,flux_err,time_flag,sector
0,1491.638689140019,1082.259084705684,913.7604745195239,9399.500752376838,1.5182035193726369,168,7
1,1491.6595229552863,1057.2256680987127,913.7576563206223,9377.554908244389,1.5095877606329406,0,7
2,1491.680356768735,1036.9418040261512,915.6645591775085,9361.637802600275,1.5053074804804274,0,7
3,1491.7011905805723,1018.6039126121459,913.9334565469926,9364.333093030482,1.5013222257102847,0,7
4,1491.722024391024,1003.9982125702081,915.4136676801434,9367.40968887117,1.4944253391745044,0,7
5,1491.7428582003365,989.5579302960971,915.7689909514836,9351.052065015016,1.4888137677906488,0,7
6,1491.763692008766,978.8793234338214,916.538275108351,9355.998507650922,1.49172671315522,0,7
7,1491.7845258165817,964.3738440591602,913.7347903834782,9349.56121508773,1.4807176450199364,0,7
8,1491.8053596240525,956.7827160357238,914.6050064092149,9349.612949304232,1.4784965929794776,0,7
9,1491.82619343145,947.5083280972289,916.08590455705,9341.136394251042,1.4749911557268807,0,7
10,1491.8470272390402,938.0058055390072,913.7316776102406,9353.93359421088,1.4714529896792112,0,7
11,1491.8678610470781,931.4082124851071,915.3685785664373,9351.392880572997,1.4687760629589763,0,7
12,1491.888694855806,924.8400669032021,913.6194009607765,9349.314440933395,1.4687386414020127,0,7
13,1491.9095286654467,918.8364797978296,912.6292822673153,9344.699839338153,1.4698876188844503,0,7
14,1491.9303624762026,914.5002187941003,913.8733817780229,9351.993832381222,1.46516704640803,0,7
15,1491.951196288249,913.3909934318012,916.0198506537431,9344.099699149589,1.4627644271188658,0,7
16,1491.9720301017335,911.9015111966687,913.7329450837497,9343.445789966541,1.4641457074946052,0,7
17,1491.9928639167729,911.8959560538771,914.7009564000048,9348.5517979036,1.4623475157885581,0,7
18,1492.0136977334485,910.8789443783661,914.3326120083512,9339.179585538464,1.4618864483936547,0,7
19,1492.03453155181,913.1391600841966,916.2115154642327,9344.041192470506,1.460898444921677,0,7
20,1492.0553653718703,910.4022918491905,911.9993397526702,9331.607356869288,1.4617792267382534,0,7
21,1492.076199193606,911.7734663862017,914.2231084141023,9348.402380524542,1.4623836661360605,0,7
22,1492.0970330169605,912.4341094768429,914.1559422921301,9342.230328350124,1.4637489040658371,0,7
23,1492.1178668418422,912.690929739994,914.2827341593485,9340.120638716457,1.4631346454443994,0,7
24,1492.1387006681264,914.0480312795021,915.6256703454611,9348.264717994438,1.4615685222865789,0,7
25,1492.1595344956568,913.1680228192743,914.5161924055541,9354.816541145217,1.4652795840892616,0,7
26,1492.1803683242522,910.9416431336995,912.6375588370335,9365.392207357409,1.4612385796098737,0,7
27,1492.2012021537041,911.9549662441345,913.7082169376012,9344.622536121477,1.4611118859652423,0,7
28,1492.222035983785,911.6717894710495,912.7574842015745,9340.189893317913,1.4614820919870355,0,7
29,1492.2428698142471,911.8258944797642,911.8124172222532,9350.653096179449,1.461399187493618,0,7
30,1492.2637036448339,912.7352260645057,913.5875484689747,9350.800788563896,1.4617922290168395,0,7
31,1492.2845374752765,912.8034037462703,912.5915909272092,9329.232146849215,1.4617708930778122,0,7
32,1492.3053713053039,912.4774652395777,911.4564226639786,9351.52695572851,1.4611171383795356,0,7
33,1492.3262051346464,912.9849419025365,911.570498259283,9336.357857536555,1.4613652232057885,0,7
34,1492.3470389630386,912.9046972877483,913.8323759295034,9319.963812312817,1.4637190280141654,0,7
35,1492.3678727902254,913.2099363595537,913.2377153111569,9340.76664755827,1.4651678616062,0,7
36,1492.3887066159655,911.292764800095,913.2227864102505,9338.799825981001,1.4613918134773618,-999,7
37,1492.4095404400377,913.9227225704132,914.8795534618991,9332.791667836706,1.467034561621989,0,7
38,1492.430374262242,913.2040051591887,914.0969945448388,9327.44740768039,1.4621485465898207,0,7
39,1492.4512080824031,912.0051321382053,911.7664994676251,9322.339940658603,1.4655633074443366,0,7
40,1492.4720419003756,912.6790065595316,912.3870138511949,9331.92412101983,1.4623750122416224,0,7
41,1492.4928757160453,912.3861485187166,911.6767450745414,9353.59652210008,1.4631818594189314,0,7
42,1492.513709529331,913.3858831671973,913.8674043975731,9335.273362920705,1.4616892544602131,0,7
43,1492.534543340187,914.2166139156606,914.2216702383009,9334.452236395804,1.4620954119556482,0,7
44,1492.555377148602,913.5169415129147,913.355617626372,9335.101581525969,1.466552114604593,0,7
45,1492.5762109546006,911.8210277956402,911.8831785123178,9341.157787391967,1.4613686008500306,0,7
46,1492.5970447582408,913.8285175036681,913.3035214332531,9339.996239778904,1.4613588193445308,0,7
47,1492.617878559619,913.6524982454011,912.7574315916788,9328.08173062417,1.4630567031558623,0,7
48,1492.6387123588609,915.1060032354727,914.9913100766465,9330.503640538634,1.46187704338455,0,7
49,1492.6595461561217,915.6746630441803,916.5701061471767,9315.187165561365,1.461501120261782,0,7
50,1492.6803799515878,913.1160356186934,913.1869938861408,9340.696029570314,1.461869219814966,0,7
51,1492.7012137454674,912.82275680781,912.6774654086661,9331.233791540037,1.462286594975127,0,7
52,1492.72204753799,913.8501088075109,912.8632411715867,9343.68494750641,1.462712523894611,0,7
53,1492.7428813294034,913.606144140672,913.1166257469192,9346.954627588433,1.461647584282884,0,7
54,1492.7637151199658,913.0537698533924,914.7430135641068,9330.220412452478,1.4637429781837843,0,7
55,1492.784548909945,914.73437262657,914.9995552099073,9324.513716575962,1.460854784587706,0,7
56,1492.8053826996136,916.1903600299178,915.8844917311548,9336.498188282312,1.464319699523692,0,7
57,1492.8262164892406,913.8500569508669,914.1337255652895,9332.075879174825,1.4618643094368635,0,7
