,RA_ICRS,DE_ICRS,id_gaia,Gmag,bp_rp,PMemb,Period
93,84.7013292584106,9.39883372956832,DR2_3336395196138704128,11.542334,0.87956715,0.8,
132,84.7112051990787,9.39031191756587,DR2_3336394989980273536,15.612153,2.460412,1.0,
179,81.9488122294045,11.2669798040745,DR2_3339317182648307456,12.206975,1.417943,1.0,
680,82.74109028430121,11.789243221979001,DR2_3340676174724130176,13.060514999999999,1.4835215,1.0,
806,84.367690347039,9.057200658176221,DR2_3334880859389275264,15.690948,2.7155485,1.0,
