,time,corr_flux,pca_flux,psf_flux,flux_err,time_flag,sector
0,1468.2873320658452,23.332844254380085,23.336375610221808,0.0,0.7684946969841465,0,6
1,1468.308165450128,22.864502569729975,22.933710394154826,0.0,0.7683430711173269,0,6
2,1468.32899883286,24.43959442018795,24.29492791653946,0.0,0.7692093926448921,0,6
3,1468.3498322137214,23.573319403808714,23.57908971961313,0.0,0.7694454629396322,0,6
4,1468.3706655924152,24.432296262403398,24.20812458161123,0.0,0.7685632378031073,0,6
5,1468.3914989686666,11.91703403575547,11.57566003119193,0.0,0.7705242701562924,164,6
6,1468.4123323422282,22.82697847929353,22.57937094389232,0.0,0.7699217991318417,0,6
7,1468.4331657128903,24.618218744314145,24.503026798834483,0.0,0.7697666214898057,0,6
8,1468.4539990804763,23.8144882982148,23.61996334991131,0.0,0.7691720424297547,0,6
9,1468.4748324448535,23.80420455872641,23.597370682727522,0.0,0.7685671154602395,0,6
10,1468.4956658059305,23.39940482504633,23.177198278770888,0.0,0.768629329793897,0,6
11,1468.5164991636575,23.984204998918273,23.888176830865362,0.0,0.7693780853122854,0,6
12,1468.5373325180328,23.020405610032704,22.939000563674803,0.0,0.7687922574656199,4096,6
13,1468.5581658690983,22.610713058428157,22.465242380628588,0.0,0.7684509323640164,0,6
14,1468.5789992169412,23.453655144552883,23.21657417582046,0.0,0.7709222604817154,0,6
15,1468.599832561689,24.52485737386325,24.30568833149628,0.0,0.7712244489261308,0,6
16,1468.6206659035138,23.935107621099547,23.57145661247127,0.0,0.7690462239514441,0,6
17,1468.6414992426191,22.84990724732985,22.664058541780815,0.0,0.7684615586506554,0,6
18,1468.6623325792489,23.558898128570345,23.200336096403458,0.0,0.7687816357499803,0,6
19,1468.6831659136749,24.548665027317593,24.197240576650834,0.0,0.7689334464423291,0,6
20,1468.7039992461923,23.104751942587075,22.627271053532166,0.0,0.7685826258931328,0,6
21,1468.7248325771193,23.31153724296438,23.010688204825154,0.0,0.7689700525018309,0,6
22,1468.7456659067848,23.2381273719128,22.92740765887125,0.0,0.7682552699595081,0,6
23,1468.7664992355303,24.00630077051469,23.912895862159694,0.0,0.7707874868694683,4096,6
24,1468.7873325637008,24.24014738027278,23.902306739895913,0.0,0.7694373097664681,0,6
25,1468.8081658916356,24.01359797332688,23.67447029296619,0.0,0.7701104593624017,0,6
26,1468.8289992196676,23.52798290091998,23.093945206703243,0.0,0.7691687102685012,0,6
27,1468.8498325481125,24.402315660903977,23.908456934365862,0.0,0.7685947238135019,0,6
28,1468.8706658772694,23.671077816443763,23.267992520190436,0.0,0.7682878935183169,0,6
29,1468.8914992074128,24.18946281209164,23.82008537214251,0.0,0.7707565737644103,0,6
30,1468.9123325387839,23.28596615142306,23.089866819268845,0.0,0.7685977676513042,0,6
31,1468.9331658715928,24.454615666281686,24.073672182583422,0.0,0.7696259532301134,0,6
32,1468.95399920601,23.452271912710145,23.130217464933786,0.0,0.7693506019126326,128,6
33,1468.974832542169,23.116438743051365,22.870024997319202,0.0,0.7690437050467706,0,6
34,1468.9956658801595,23.77596099257238,23.412603094641046,0.0,0.7686760114714943,0,6
35,1469.0164992200241,22.22950810648143,21.975072134938113,0.0,0.7682292205465696,0,6
36,1469.0373325617625,24.784594262407737,24.552030349925765,0.0,0.769101734640883,0,6
37,1469.0581659053316,24.055392179942967,23.91024089697702,0.0,0.7692505184031746,0,6
38,1469.0789992506395,23.92558588452508,23.786799602462622,0.0,0.7690645535785363,0,6
39,1469.0998325975568,23.467520427762107,23.29766461206199,0.0,0.7685796401591286,0,6
40,1469.1206659459087,23.591457794126157,23.356640962062816,0.0,0.7699411917188509,4096,6
41,1469.1414992954876,22.870396869851792,22.730649023310118,0.0,0.7682883396096987,0,6
42,1469.16233264605,23.475922727670795,23.355965819152424,0.0,0.7725327719986711,0,6
43,1469.1831659973204,23.517305379248132,23.422290853179984,0.0,0.7683557158297207,0,6
44,1469.203999349003,23.78268264546771,23.700738284718177,0.0,0.7686734719680991,0,6
45,1469.224832700781,23.541974681255844,23.490293605682048,0.0,0.7690741251129262,0,6
46,1469.2456660523203,24.5046047457765,24.349923235268474,0.0,0.769033629345572,0,6
47,1469.2664994032807,23.543566284382976,23.375901130584513,0.0,0.7693373150121942,0,6
48,1469.2873327533196,23.337914927920387,23.263515191233704,0.0,0.7683588187948288,0,6
49,1469.3081661020972,23.750453293482433,23.642411159818597,0.0,0.7700587367283273,0,6
50,1469.328999449282,23.61647310816313,23.433570739394185,0.0,0.7684389485286977,0,6
51,1469.3498327945572,24.636507596160463,24.569521864769598,0.0,0.7690267119127464,0,6
52,1469.3706661376261,23.82846308256255,23.76654733784353,0.0,0.7688290834454824,0,6
53,1469.391499478219,24.12348374512075,24.073423663696513,0.0,0.7692210739010753,0,6
54,1469.412332816094,22.89898945261168,22.83125841801033,0.0,0.7679594805789636,0,6
55,1469.4331661510441,23.36296965610435,23.315707819557062,0.0,0.7698138923344398,0,6
56,1469.4539994829004,23.969813383138618,24.09186294687571,0.0,0.7688357506974567,0,6
57,1469.4748328115318,24.042089441532656,24.073056939911954,0.0,0.7687420743828336,0,6
58,1469.4956661368549,23.62919945100596,23.636052077791295,0.0,0.7716366002038786,0,6
59,1469.5164994588267,23.586737195624004,23.695379368033773,0.0,0.7690498472844665,0,6
60,1469.5373327774503,24.02919468164635,24.087349102533683,0.0,0.7695165526250038,0,6
61,1469.5581660927737,23.45738457093149,23.567599229162894,0.0,0.768813190344223,0,6
62,1469.5789994048887,23.536494534111753,23.665266872757766,0.0,0.7728465356053545,0,6
