,time,corr_flux,pca_flux,psf_flux,flux_err,time_flag,sector
0,1325.3281254060398,45.02472575841948,45.140353197576786,0.0,0.5208394495287043,0,1
1,1325.34895921698,43.88026163731597,43.8936925430057,0.0,0.5320400226110633,0,1
2,1325.369793027343,43.93223345954696,43.72344524366232,0.0,0.5445257408268405,0,1
3,1325.3906268368924,43.96191547420977,43.80125019022938,0.0,0.5553997195415867,0,1
4,1325.4114606453995,43.907217810309994,43.58761858654423,0.0,0.5635770050387134,0,1
5,1325.4322944526402,43.26769366281258,43.09178224186609,0.0,0.5703449501316336,0,1
6,1325.4531282584032,43.09341646138236,42.91918130496171,0.0,0.5747427722639058,0,1
7,1325.4739620624941,43.511238742959904,43.387580682067096,0.0,0.5785917511487486,0,1
8,1325.4947958647356,43.5165588065705,43.288018131328634,0.0,0.5821447709764219,0,1
9,1325.5156296649757,44.42057771467488,44.22784485980553,0.0,0.58585059475147,0,1
10,1325.536463463084,43.244553316811555,42.989221754740655,0.0,0.5888795614128646,0,1
11,1325.5572972589575,42.99409853856493,42.653069212204976,0.0,0.5917605650183886,0,1
12,1325.5781310525256,43.08833812846838,42.746788136290455,0.0,0.5944030332723443,0,1
13,1325.59896484374,44.80354991367254,44.45952476966933,0.0,0.5964854497094206,0,1
14,1325.619798632591,44.29964049928338,43.95557854540514,0.0,0.5955303629518124,0,1
15,1325.640632419096,44.2967375085041,43.83239015414632,0.0,0.5937354186425909,4096,1
16,1325.6614662033037,43.70941681746532,43.39965255597563,0.0,0.5911821250586499,0,1
17,1325.6822999852925,43.564950062731064,43.24822121889137,0.0,0.5892634916553434,0,1
18,1325.703133765168,43.27757814513659,42.99354823812815,0.0,0.5886316160371754,0,1
19,1325.7239675430656,44.386624823701176,44.11538427962031,0.0,0.5898045406825186,0,1
20,1325.744801319142,44.278639486814264,43.86103139365817,0.0,0.5915772688402969,0,1
21,1325.7656350935767,44.23936217008318,43.8537346838996,0.0,0.5938667257917271,0,1
22,1325.7864688665688,45.50952604185911,45.00272985854195,0.0,0.5968795042217526,0,1
23,1325.80730263833,44.253965918534355,43.85915262818873,0.0,0.5982507354494285,0,1
24,1325.8281364090856,44.54601989117916,44.12034935453454,0.0,0.5995481751861237,0,1
25,1325.8489701790675,44.847521132349634,44.394758755414415,0.0,0.5991788181890763,0,1
26,1325.8698039485105,44.03793704548279,43.64834283869049,0.0,0.5964256157752877,0,1
27,1325.8906377176504,44.711431461918956,44.28886310071315,0.0,0.592545190447894,0,1
28,1325.9114714867167,42.9332463483471,42.60380812714585,0.0,0.5883389154670088,0,1
29,1325.9323052559344,44.63210628498421,44.316172080868846,0.0,0.5866404703393809,0,1
30,1325.9531390255106,43.52430866578706,43.29283082746494,0.0,0.5839888658637944,0,1
31,1325.9739727956387,44.19142253997811,43.862153997308056,0.0,0.582931781967747,128,1
32,1325.9948065664958,45.097405049598294,44.796523000937576,0.0,0.5830691511388384,0,1
33,1326.0156403382316,43.43183096001591,43.13534076631898,0.0,0.582977345244006,0,1
34,1326.036474110975,43.54400125328249,43.27988091252064,0.0,0.5840452411279424,0,1
35,1326.0573078848256,43.94591127140147,43.706953155283244,0.0,0.5832594515357192,0,1
36,1326.0781416598559,43.38296438446724,43.157920324281186,0.0,0.5825996183993907,0,1
37,1326.0989754361065,43.14685307109686,42.883608241639145,0.0,0.5817624437847968,0,1
38,1326.1198092135867,42.80958779928435,42.5454927107701,0.0,0.580769573111732,0,1
39,1326.1406429922788,44.11524438191967,43.81197415593175,0.0,0.5801907568095046,0,1
40,1326.1614767721314,43.45463360882709,43.21727767913845,0.0,0.5785491263962153,0,1
41,1326.1823105530639,43.02348199751645,42.822564445012304,0.0,0.5769561731339338,0,1
42,1326.2031443349663,43.65491448683639,43.41383517314527,0.0,0.5757656281628166,0,1
43,1326.2239781177047,43.84578840875012,43.69507762426181,0.0,0.5745016296527946,0,1
44,1326.244811901119,43.3888819784069,43.21858023475198,0.0,0.573280736091739,0,1
45,1326.2656456850275,43.544824917538875,43.36210056947908,0.0,0.5721427342869024,0,1
46,1326.2864794692343,44.292337248509504,44.21124683170882,0.0,0.5712706342806025,0,1
47,1326.307313253523,43.98056372214388,43.84061210643041,0.0,0.5703050011964867,0,1
48,1326.3281470376683,43.14563167651941,42.96226042827779,0.0,0.5694284903674279,4096,1
49,1326.3489808214388,42.88080015701257,42.86258331894793,0.0,0.5694514528737487,128,1
50,1326.3698146045983,43.48819320207865,43.44503489071096,0.0,0.5702528073151024,0,1
51,1326.3906483869123,43.568280654535606,43.490642710451596,0.0,0.5709955488489095,0,1
52,1326.4114821681503,44.508026852313584,44.41710717925937,0.0,0.5718641467706111,0,1
53,1326.4323159480923,43.212554755736946,43.099769065656716,0.0,0.5716500861425176,0,1
54,1326.4531497265275,44.59350005912236,44.47665213540144,0.0,0.5730558674216623,0,1
55,1326.4739835032622,43.04392136833241,42.91011065108176,0.0,0.5727231016598918,4096,1
56,1326.494817278126,43.74587925637521,43.61090064423731,0.0,0.5734385165587518,0,1
57,1326.5156510509655,43.578229263236764,43.437772113652876,0.0,0.5739850976684224,0,1
58,1326.536484821657,44.200978480573795,44.01100825186241,0.0,0.5752989670727795,0,1
59,1326.5573185901003,43.431540376489764,43.336903113664555,0.0,0.5763275194882396,0,1
60,1326.5781523562255,44.1328782388683,43.95514160926686,0.0,0.5769159200420045,0,1
61,1326.5989861199946,44.25150664517977,44.095616844789426,0.0,0.5771234703795562,0,1
62,1326.6198198813963,43.09558226202073,43.01859023263932,0.0,0.5767865668239477,0,1
